Gm12878Sp1Pcr1xPkRep1.csv,roc_auc: ,0.8581064232408547,  pr_auc: ,0.7657961507252223, pre: ,0.8072976063930754, rec: ,0.8028301886792453, acc: ,0.8028301886792453, f1: ,0.8046498437090951
Gm12878Pou2f2Pcr1xPkRep1.csv,roc_auc: ,0.8720508049284457,  pr_auc: ,0.807422559478974, pre: ,0.8109431257748586, rec: ,0.8133535660091047, acc: ,0.8133535660091047, f1: ,0.8113575771220869
K562Rad21V0416102PkRep1.csv,roc_auc: ,0.98306018609388,  pr_auc: ,0.9788054908117227, pre: ,0.9436051311155327, rec: ,0.9435897435897436, acc: ,0.9435897435897436, f1: ,0.9435970020621147
Gm12878Bcl3V0416101PkRep1.csv,roc_auc: ,0.9260852207079415,  pr_auc: ,0.8691508503330243, pre: ,0.865016553015266, rec: ,0.8671026996938491, acc: ,0.8671026996938491, f1: ,0.8648068436220312
K562Egr1V0416101PkRep1.csv,roc_auc: ,0.964105362887994,  pr_auc: ,0.959597775423795, pre: ,0.9086058536863104, rec: ,0.9085036255767963, acc: ,0.9085036255767963, f1: ,0.9085086927385078
K562E2f6sc22823V0416102PkRep1.csv,roc_auc: ,0.9592023359040499,  pr_auc: ,0.9576307820485456, pre: ,0.8992447249517344, rec: ,0.8991323210412148, acc: ,0.8991323210412148, f1: ,0.8991545381991077
H1hescTcf12Pcr1xPkRep1.csv,roc_auc: ,0.9161559985164464,  pr_auc: ,0.8352287317194506, pre: ,0.8509798702708273, rec: ,0.8468562483694234, acc: ,0.8468562483694234, f1: ,0.8482998377270794
H1hescGabpPcr1xPkRep1.csv,roc_auc: ,0.9398062934533618,  pr_auc: ,0.9503621490150509, pre: ,0.8700177755088359, rec: ,0.8675751222921034, acc: ,0.8675751222921034, f1: ,0.8657967342946341
Gm12878BatfPcr1xPkRep1.csv,roc_auc: ,0.9244575318178867,  pr_auc: ,0.8609719457566098, pre: ,0.8770056445459546, rec: ,0.8767108524625499, acc: ,0.8767108524625499, f1: ,0.8768535637752837
H1hescRad21V0416102PkRep1.csv,roc_auc: ,0.9797455117482043,  pr_auc: ,0.976755509698363, pre: ,0.9330008186882474, rec: ,0.932686286787727, acc: ,0.932686286787727, f1: ,0.9326135265353858
H1hescUsf1Pcr1xPkRep1.csv,roc_auc: ,0.9821873024487708,  pr_auc: ,0.9702682551035168, pre: ,0.9449724424841613, rec: ,0.9436056838365897, acc: ,0.9436056838365897, f1: ,0.9439150774982256
K562Atf3V0416101PkRep1.csv,roc_auc: ,0.9560884880174585,  pr_auc: ,0.9437606648493568, pre: ,0.8896684714649699, rec: ,0.885239852398524, acc: ,0.885239852398524, f1: ,0.8859074603968344
Gm12878Elf1sc631V0416101PkRep1.csv,roc_auc: ,0.9286290603435523,  pr_auc: ,0.9127885123757419, pre: ,0.8531880252697923, rec: ,0.8457486832204665, acc: ,0.8457486832204665, f1: ,0.8461145445772046
Gm12878Irf4sc6059Pcr1xPkRep1.csv,roc_auc: ,0.8805705472004761,  pr_auc: ,0.7942502507517518, pre: ,0.8248990099143295, rec: ,0.828014440433213, acc: ,0.828014440433213, f1: ,0.8208261039197856
Gm12878Yy1sc281Pcr1xPkRep1.csv,roc_auc: ,0.9113969780239513,  pr_auc: ,0.9124958655857143, pre: ,0.8290328336929403, rec: ,0.8243061498960753, acc: ,0.8243061498960753, f1: ,0.824057658340493
Gm12878Usf1Pcr2xPkRep1.csv,roc_auc: ,0.9581154268818706,  pr_auc: ,0.9427084186857231, pre: ,0.9116390730482636, rec: ,0.9110415735359857, acc: ,0.9110415735359857, f1: ,0.9094264091335743
Gm12878Mef2aPcr1xPkRep1.csv,roc_auc: ,0.9254322805268433,  pr_auc: ,0.8548171644997624, pre: ,0.8813452743312238, rec: ,0.8795894767273779, acc: ,0.8795894767273779, f1: ,0.8803528561652054
K562SrfV0416101PkRep1.csv,roc_auc: ,0.9374083860065168,  pr_auc: ,0.8882796380539618, pre: ,0.8669960552125784, rec: ,0.8473592571096924, acc: ,0.8473592571096924, f1: ,0.8512602093239092
Gm12878Tcf12Pcr1xPkRep1.csv,roc_auc: ,0.9225844749581184,  pr_auc: ,0.9085110167569548, pre: ,0.8495360027105254, rec: ,0.847924427887174, acc: ,0.847924427887174, f1: ,0.847068432185982
Gm12878Taf1Pcr1xPkRep1.csv,roc_auc: ,0.9255964806379242,  pr_auc: ,0.8937644635089451, pre: ,0.8342294536691018, rec: ,0.8097014925373134, acc: ,0.8097014925373134, f1: ,0.8009087187559233
Gm12878Pax5n19Pcr1xPkRep1.csv,roc_auc: ,0.9048777050311431,  pr_auc: ,0.8282644908896016, pre: ,0.8409215747373056, rec: ,0.8422697368421053, acc: ,0.8422697368421053, f1: ,0.8414247716070296
K562Yy1V0416101PkRep1.csv,roc_auc: ,0.9355525414292581,  pr_auc: ,0.9424483316014102, pre: ,0.8649651677623095, rec: ,0.862782401902497, acc: ,0.862782401902497, f1: ,0.8613779625904563
K562GabpV0416101PkRep1.csv,roc_auc: ,0.9539498662647051,  pr_auc: ,0.9221618086578994, pre: ,0.8917817032343723, rec: ,0.8858447488584474, acc: ,0.8858447488584474, f1: ,0.8871042388790061
H1hescYy1sc281V0416102PkRep1.csv,roc_auc: ,0.9448679804806512,  pr_auc: ,0.9270454942761537, pre: ,0.8759504427733952, rec: ,0.875600791631326, acc: ,0.875600791631326, f1: ,0.8757202735591396
