Gm12878Sp1Pcr1xPkRep1.csv,roc_auc: ,0.8278386303161642,  pr_auc: ,0.7065242221051504, pre: ,0.7810170655305622, rec: ,0.7762971698113208, acc: ,0.7762971698113208, f1: ,0.7782907307954451
Gm12878Pou2f2Pcr1xPkRep1.csv,roc_auc: ,0.83446415363808,  pr_auc: ,0.7549838707065178, pre: ,0.786648140355815, rec: ,0.7738998482549317, acc: ,0.7738998482549317, f1: ,0.7528116003491248
K562Rad21V0416102PkRep1.csv,roc_auc: ,0.9686623305569245,  pr_auc: ,0.9575613913909203, pre: ,0.9097843150131668, rec: ,0.9098104793756968, acc: ,0.9098104793756968, f1: ,0.909796826979302
Gm12878Bcl3V0416101PkRep1.csv,roc_auc: ,0.8849567703107973,  pr_auc: ,0.8031042618574339, pre: ,0.826377262738902, rec: ,0.8263289730030615, acc: ,0.8263289730030615, f1: ,0.8157800818163206
K562Egr1V0416101PkRep1.csv,roc_auc: ,0.95982138634969,  pr_auc: ,0.954853812475537, pre: ,0.9036801049676172, rec: ,0.9028345418589321, acc: ,0.9028345418589321, f1: ,0.9028193106990808
K562E2f6sc22823V0416102PkRep1.csv,roc_auc: ,0.9404999148913884,  pr_auc: ,0.9441441939882688, pre: ,0.876155788171956, rec: ,0.8720173535791758, acc: ,0.8720173535791758, f1: ,0.8719718507557432
H1hescTcf12Pcr1xPkRep1.csv,roc_auc: ,0.835386841572443,  pr_auc: ,0.6909270633615444, pre: ,0.7625323329436132, rec: ,0.7693712496738847, acc: ,0.7693712496738847, f1: ,0.7548771250810994
H1hescGabpPcr1xPkRep1.csv,roc_auc: ,0.8969359100590765,  pr_auc: ,0.912936365573356, pre: ,0.824662169760907, rec: ,0.8245981830887491, acc: ,0.8245981830887491, f1: ,0.8227918836322375
Gm12878BatfPcr1xPkRep1.csv,roc_auc: ,0.8927070927474234,  pr_auc: ,0.8021245944758946, pre: ,0.8455841638973388, rec: ,0.8491216725940295, acc: ,0.8491216725940295, f1: ,0.8418149117617648
H1hescRad21V0416102PkRep1.csv,roc_auc: ,0.9621403525733048,  pr_auc: ,0.9591742152479676, pre: ,0.8972023443168246, rec: ,0.8969160926737633, acc: ,0.8969160926737633, f1: ,0.8969619533253206
H1hescUsf1Pcr1xPkRep1.csv,roc_auc: ,0.968894238888245,  pr_auc: ,0.9509913677301061, pre: ,0.9234162489834689, rec: ,0.9236234458259325, acc: ,0.9236234458259325, f1: ,0.9234883477174314
K562Atf3V0416101PkRep1.csv,roc_auc: ,0.9236720243088316,  pr_auc: ,0.9002972155180345, pre: ,0.8530826220453757, rec: ,0.8535055350553505, acc: ,0.8535055350553505, f1: ,0.8526851040066273
Gm12878Elf1sc631V0416101PkRep1.csv,roc_auc: ,0.9011912527244359,  pr_auc: ,0.8830848217936876, pre: ,0.821377247074624, rec: ,0.8206671682969652, acc: ,0.8206671682969652, f1: ,0.8208768419019823
Gm12878Irf4sc6059Pcr1xPkRep1.csv,roc_auc: ,0.8223610382548712,  pr_auc: ,0.6862502523082624, pre: ,0.7692751577812437, rec: ,0.7773285198555957, acc: ,0.7773285198555957, f1: ,0.7698243730474935
Gm12878Yy1sc281Pcr1xPkRep1.csv,roc_auc: ,0.8823231351098227,  pr_auc: ,0.8819835530944605, pre: ,0.7991533094084435, rec: ,0.7970412030810613, acc: ,0.7970412030810613, f1: ,0.7969941629948073
Gm12878Usf1Pcr2xPkRep1.csv,roc_auc: ,0.9347614036218111,  pr_auc: ,0.9017178807485445, pre: ,0.8811505690077115, rec: ,0.8797496647295485, acc: ,0.8797496647295485, f1: ,0.8802923067736829
Gm12878Mef2aPcr1xPkRep1.csv,roc_auc: ,0.8203603691389396,  pr_auc: ,0.6074189091150677, pre: ,0.7643566867013147, rec: ,0.7703093379589476, acc: ,0.7703093379589476, f1: ,0.7138946110949715
K562SrfV0416101PkRep1.csv,roc_auc: ,0.8537350499967323,  pr_auc: ,0.7646434352584457, pre: ,0.8076630957114874, rec: ,0.8113755078351712, acc: ,0.8113755078351712, f1: ,0.8020878456154569
Gm12878Tcf12Pcr1xPkRep1.csv,roc_auc: ,0.9040952476082899,  pr_auc: ,0.890342458259194, pre: ,0.8308755344189442, rec: ,0.8296966471527408, acc: ,0.8296966471527408, f1: ,0.8287889164887285
Gm12878Taf1Pcr1xPkRep1.csv,roc_auc: ,0.9142691765965613,  pr_auc: ,0.8772842013464551, pre: ,0.8486449694493737, rec: ,0.8418843283582089, acc: ,0.8418843283582089, f1: ,0.8388032214692129
Gm12878Pax5n19Pcr1xPkRep1.csv,roc_auc: ,0.859134270863848,  pr_auc: ,0.7564222013058747, pre: ,0.7977332317893718, rec: ,0.8021381578947369, acc: ,0.8021381578947369, f1: ,0.797456126847657
K562Yy1V0416101PkRep1.csv,roc_auc: ,0.9125599195864287,  pr_auc: ,0.9270502657044031, pre: ,0.8288385881769288, rec: ,0.8292508917954816, acc: ,0.8292508917954816, f1: ,0.8288367371594623
K562GabpV0416101PkRep1.csv,roc_auc: ,0.9366931965002153,  pr_auc: ,0.8844521548535982, pre: ,0.8662860618488063, rec: ,0.8667237442922374, acc: ,0.8667237442922374, f1: ,0.8664717691464973
H1hescYy1sc281V0416102PkRep1.csv,roc_auc: ,0.904166403942872,  pr_auc: ,0.8718861124762811, pre: ,0.8223895535407608, rec: ,0.818490245971162, acc: ,0.818490245971162, f1: ,0.8156500262057356
