K562Gata2sc267Pcr1xPkRep1.csv,roc_auc: ,0.8792749542777564,  pr_auc: ,0.8115645519214125, pre: ,0.8360730575169614, rec: ,0.8353862777744141, acc: ,0.8353862777744141, f1: ,0.8343630597169895
K562MaxV0416102PkRep1.csv,roc_auc: ,0.941641810592295,  pr_auc: ,0.9450947227859056, pre: ,0.8735051429354417, rec: ,0.8723679844073408, acc: ,0.8723679844073408, f1: ,0.8724494374553362
K562GabpV0416101PkRep1.csv,roc_auc: ,0.9520945914473173,  pr_auc: ,0.9194248543084729, pre: ,0.8893037051347568, rec: ,0.8875093119791646, acc: ,0.8875093119791646, f1: ,0.8875493006323177
H1hescTcf12Pcr1xPkRep1.csv,roc_auc: ,0.9040193570662401,  pr_auc: ,0.8059957509245524, pre: ,0.837947750360789, rec: ,0.8308381177195947, acc: ,0.8308381177195947, f1: ,0.8315727768611001
Gm12878Pbx3Pcr1xPkRep1.csv,roc_auc: ,0.9096964631683864,  pr_auc: ,0.8536847264181129, pre: ,0.8632583737597956, rec: ,0.8590809051287802, acc: ,0.8590809051287802, f1: ,0.8589615175040997
Gm12878Mef2aPcr1xPkRep1.csv,roc_auc: ,0.9126631653500021,  pr_auc: ,0.819849274507758, pre: ,0.8653011371598783, rec: ,0.8657314522256485, acc: ,0.8657314522256485, f1: ,0.8607357752713213
H1hescUsf1Pcr1xPkRep1.csv,roc_auc: ,0.9822550447207471,  pr_auc: ,0.9687419697016892, pre: ,0.9428242823302571, rec: ,0.9425783370342955, acc: ,0.9425783370342955, f1: ,0.9425322927926466
Gm12878BatfPcr1xPkRep1.csv,roc_auc: ,0.9321391121271171,  pr_auc: ,0.8743746215349789, pre: ,0.8861628731938758, rec: ,0.8842427373165481, acc: ,0.8842427373165481, f1: ,0.8840691177167816
Gm12878Pax5n19Pcr1xPkRep1.csv,roc_auc: ,0.9114283490842784,  pr_auc: ,0.8471822445999827, pre: ,0.8489123472433098, rec: ,0.8474506578947368, acc: ,0.8474506578947368, f1: ,0.8473025180320335
H1hescTaf1V0416102PkRep1.csv,roc_auc: ,0.9237357162364404,  pr_auc: ,0.9255503596853263, pre: ,0.8567393497933198, rec: ,0.8546181913321409, acc: ,0.8546181913321409, f1: ,0.854561229297819
H1hescYy1sc281V0416102PkRep1.csv,roc_auc: ,0.9485492248005067,  pr_auc: ,0.9330026822199242, pre: ,0.8826248534870047, rec: ,0.8813491925015912, acc: ,0.8813491925015912, f1: ,0.8812367751951469
Gm12878Bcl11aPcr1xPkRep1.csv,roc_auc: ,0.8902215053696626,  pr_auc: ,0.792861462620005, pre: ,0.8367655781417913, rec: ,0.83372273422373, acc: ,0.83372273422373, f1: ,0.8345179304492811
Gm12878Rad21V0416101PkRep1.csv,roc_auc: ,0.9873309575392172,  pr_auc: ,0.9803275341067726, pre: ,0.9580510819602288, rec: ,0.9578632171992764, acc: ,0.9578632171992764, f1: ,0.9578593803532239
Gm12878Bcl3V0416101PkRep1.csv,roc_auc: ,0.9200158073208378,  pr_auc: ,0.8627684694189238, pre: ,0.8642366955120316, rec: ,0.8651376691049111, acc: ,0.8651376691049111, f1: ,0.8620422494223604
K562Elf1sc631V0416102PkRep1.csv,roc_auc: ,0.9479112534788193,  pr_auc: ,0.9610651075005479, pre: ,0.8977414545616274, rec: ,0.8967811578330762, acc: ,0.8967811578330762, f1: ,0.8956217755104815
H1hescSp1Pcr1xPkRep1.csv,roc_auc: ,0.9170939555567745,  pr_auc: ,0.8643966147897407, pre: ,0.844158134329396, rec: ,0.8410633728856961, acc: ,0.8410633728856961, f1: ,0.8401762904188237
K562Usf1V0416101PkRep1.csv,roc_auc: ,0.9625991899353001,  pr_auc: ,0.9424402168854362, pre: ,0.9129874033519968, rec: ,0.9120423661668635, acc: ,0.9120423661668635, f1: ,0.9119765330410864
Gm12878Ets1Pcr1xPkRep1.csv,roc_auc: ,0.9439912325951891,  pr_auc: ,0.9054155134063114, pre: ,0.8799402409107444, rec: ,0.8775664597932288, acc: ,0.8775664597932288, f1: ,0.8778173748414388
H1hescGabpPcr1xPkRep1.csv,roc_auc: ,0.9321296287171064,  pr_auc: ,0.942545813378193, pre: ,0.8670484913768979, rec: ,0.8651564657453875, acc: ,0.8651564657453875, f1: ,0.8639143221032741
K562Hey1Pcr1xPkRep1.csv,roc_auc: ,0.8878366837252611,  pr_auc: ,0.893929463989388, pre: ,0.8113534665459955, rec: ,0.8083668318144481, acc: ,0.8083668318144481, f1: ,0.8081816175725954
K562Ets1V0416101PkRep1.csv,roc_auc: ,0.9107163757512954,  pr_auc: ,0.8930850632604213, pre: ,0.839747533821679, rec: ,0.8279895750480819, acc: ,0.8279895750480819, f1: ,0.8266066065562521
K562NrsfV0416102PkRep1.csv,roc_auc: ,0.928683221154887,  pr_auc: ,0.8960459205527558, pre: ,0.8590996216972862, rec: ,0.8564326040863717, acc: ,0.8564326040863717, f1: ,0.856435054600152
K562Fosl1sc183V0416101PkRep1.csv,roc_auc: ,0.9589300229013776,  pr_auc: ,0.9238905608381485, pre: ,0.9295153501539211, rec: ,0.9296871590796391, acc: ,0.9296871590796391, f1: ,0.9287169254135117
H1hescRad21V0416102PkRep1.csv,roc_auc: ,0.9832734322812746,  pr_auc: ,0.9813363541482198, pre: ,0.9414968804979059, rec: ,0.9412805259862242, acc: ,0.9412805259862242, f1: ,0.9412636631742618
