K562Gata2sc267Pcr1xPkRep1.csv,roc_auc: ,0.9038082714913509,  pr_auc: ,0.8445503010452331, pre: ,0.8599260320058446, rec: ,0.8566273499789613, acc: ,0.8566273499789613, f1: ,0.8568750125490073
K562MaxV0416102PkRep1.csv,roc_auc: ,0.9440301938034128,  pr_auc: ,0.9482128881272361, pre: ,0.8779016606839075, rec: ,0.8764440670471085, acc: ,0.8764440670471085, f1: ,0.8758815861116022
K562GabpV0416101PkRep1.csv,roc_auc: ,0.9587135484590418,  pr_auc: ,0.9293934401688286, pre: ,0.8991081569745555, rec: ,0.8965290514197225, acc: ,0.8965290514197225, f1: ,0.8969039069474898
H1hescTcf12Pcr1xPkRep1.csv,roc_auc: ,0.9256365057239838,  pr_auc: ,0.857049067756883, pre: ,0.8620084129460757, rec: ,0.8612355916943673, acc: ,0.8612355916943673, f1: ,0.861309787288346
Gm12878Pbx3Pcr1xPkRep1.csv,roc_auc: ,0.9329016161251783,  pr_auc: ,0.884411950000412, pre: ,0.885482175222742, rec: ,0.8836263585721127, acc: ,0.8836263585721127, f1: ,0.882954237318929
Gm12878Mef2aPcr1xPkRep1.csv,roc_auc: ,0.9241360375364135,  pr_auc: ,0.8487248289530116, pre: ,0.8815454134047904, rec: ,0.8808239964861514, acc: ,0.8808239964861514, f1: ,0.880777107690885
H1hescUsf1Pcr1xPkRep1.csv,roc_auc: ,0.9854568073685235,  pr_auc: ,0.9754147697758583, pre: ,0.9503277674929848, rec: ,0.9500983965126375, acc: ,0.9500983965126375, f1: ,0.9501339632567951
Gm12878BatfPcr1xPkRep1.csv,roc_auc: ,0.9463077456448982,  pr_auc: ,0.8954665510174976, pre: ,0.9025857966869941, rec: ,0.9018310973507176, acc: ,0.9018310973507176, f1: ,0.9017176549650852
Gm12878Pax5n19Pcr1xPkRep1.csv,roc_auc: ,0.9264091576472999,  pr_auc: ,0.869482370122185, pre: ,0.8651157362362323, rec: ,0.8621052631578946, acc: ,0.8621052631578946, f1: ,0.8620441898555544
H1hescTaf1V0416102PkRep1.csv,roc_auc: ,0.9289885885329678,  pr_auc: ,0.9305182891199417, pre: ,0.8560504630131704, rec: ,0.8542537718882659, acc: ,0.8542537718882659, f1: ,0.8535038375608763
H1hescYy1sc281V0416102PkRep1.csv,roc_auc: ,0.9521422001769109,  pr_auc: ,0.9371632342899014, pre: ,0.8876213640336228, rec: ,0.8872442024989127, acc: ,0.8872442024989127, f1: ,0.8870946068836606
Gm12878Bcl11aPcr1xPkRep1.csv,roc_auc: ,0.9195324966390019,  pr_auc: ,0.846430870092943, pre: ,0.8671991320247955, rec: ,0.8668868881316325, acc: ,0.8668868881316325, f1: ,0.8653240714541065
Gm12878Rad21V0416101PkRep1.csv,roc_auc: ,0.9866709124783579,  pr_auc: ,0.9790844083813038, pre: ,0.9452324486316768, rec: ,0.9423931663724565, acc: ,0.9423931663724565, f1: ,0.9428556072834826
Gm12878Bcl3V0416101PkRep1.csv,roc_auc: ,0.929945407545041,  pr_auc: ,0.8792742418593672, pre: ,0.8754455931630905, rec: ,0.8755342048570821, acc: ,0.8755342048570821, f1: ,0.8735999176001631
K562Elf1sc631V0416102PkRep1.csv,roc_auc: ,0.9521729749124639,  pr_auc: ,0.9658478147353605, pre: ,0.9032209753104509, rec: ,0.9027961099094733, acc: ,0.9027961099094733, f1: ,0.9017624751381543
H1hescSp1Pcr1xPkRep1.csv,roc_auc: ,0.9304677308635515,  pr_auc: ,0.8958991831026439, pre: ,0.8549757316435379, rec: ,0.851284191465927, acc: ,0.851284191465927, f1: ,0.8507364296714787
K562Usf1V0416101PkRep1.csv,roc_auc: ,0.9699418516691883,  pr_auc: ,0.953799121169083, pre: ,0.9240645866313612, rec: ,0.923104693655947, acc: ,0.923104693655947, f1: ,0.9232786417834176
Gm12878Ets1Pcr1xPkRep1.csv,roc_auc: ,0.9513881249310676,  pr_auc: ,0.9181513811439851, pre: ,0.8898039856741319, rec: ,0.8893710902876665, acc: ,0.8893710902876665, f1: ,0.8881943751112779
H1hescGabpPcr1xPkRep1.csv,roc_auc: ,0.9294488753270562,  pr_auc: ,0.9414255841116839, pre: ,0.8603207466319649, rec: ,0.8578164603571341, acc: ,0.8578164603571341, f1: ,0.8564260561114769
K562Hey1Pcr1xPkRep1.csv,roc_auc: ,0.8955121121063977,  pr_auc: ,0.900168747708548, pre: ,0.8155366022861564, rec: ,0.8127621590131049, acc: ,0.8127621590131049, f1: ,0.8124855217285292
K562Ets1V0416101PkRep1.csv,roc_auc: ,0.9251457018530344,  pr_auc: ,0.9120768464408326, pre: ,0.8629179459286158, rec: ,0.8607807508250463, acc: ,0.8607807508250463, f1: ,0.8605415029227149
K562NrsfV0416102PkRep1.csv,roc_auc: ,0.9397079088167214,  pr_auc: ,0.9131492046380648, pre: ,0.8742190533113664, rec: ,0.8719262703283986, acc: ,0.8719262703283986, f1: ,0.8718700635243083
K562Fosl1sc183V0416101PkRep1.csv,roc_auc: ,0.9647766036870863,  pr_auc: ,0.9338482106388277, pre: ,0.9339273693227617, rec: ,0.9336742271291142, acc: ,0.9336742271291142, f1: ,0.9334288071089093
H1hescRad21V0416102PkRep1.csv,roc_auc: ,0.9819484670858817,  pr_auc: ,0.9797067870625241, pre: ,0.9359210538571012, rec: ,0.9351596743894802, acc: ,0.9351596743894802, f1: ,0.935174880317437
