Cell Line,TF,DeepBind,DanQ,DeepD2V,DeepSEA,CBR-KAN
Gm12878,Batf,0.7140715356607411,0.7304088586030665,0.7679180887372014,0.81419624217119,0.8552175587216019
Gm12878,Bcl11a,0.6564774381368268,0.668496911461908,0.0,0.7107983285682867,0.7540066140931061
Gm12878,Bcl3,0.6254935138183869,0.7263820853743876,0.7951044524161216,0.6763337893296854,0.8102723046269648
Gm12878,Bclaf,0.6132190942472461,0.7162237502322988,0.7109403585803147,0.7289987461938026,0.7630780217818247
Gm12878,Ebf,0.7552301255230126,0.7324451845684152,0.7973968565815324,0.7810118675827608,0.8167432363450741
Gm12878,Egr1,0.8706976744186047,0.8994197292069632,0.9107312440645774,0.8867542972699697,0.9176697159364468
Gm12878,Elf1,0.8084291187739464,0.7527982091461465,0.841248303934871,0.8314374353671148,0.8454241071428571
Gm12878,Ets1,0.7772151898734178,0.7935103244837758,0.8492392807745505,0.8315363881401617,0.8527648234510327
Gm12878,Irf4,0.5341689048045359,0.6840420667581162,0.7078209542547959,0.6857868020304568,0.7465841711781387
Gm12878,Mef2a,0.3909164639091646,0.7163515016685206,0.7581077060398691,0.7359952324195471,0.7891464104013567
Gm12878,Nrsf,0.7301293900184843,0.733615221987315,0.8341323106423778,0.8381665107577175,0.8395061728395061
Gm12878,Pax5c20,0.7813686452449301,0.8023415348028903,0.8154521824863314,0.8164722270590283,0.8314522898983304
Gm12878,Pax5n19,0.6316715542521995,0.7292474786656322,0.7508238276299113,0.7372380440623321,0.7867123648826786
Gm12878,Pbx3,0.7314165497896213,0.7409288824383164,0.7736233854520734,0.7997227997227997,0.8216491100617508
Gm12878,Pou2f2,0.6825764596848934,0.6895011169024572,0.6776519052523172,0.7417160412552117,0.7728472055648836
Gm12878,Pu1,0.8653916881206326,0.8964765710134399,0.9087681931132412,0.906284053759535,0.929150511103278
Gm12878,Rad21,0.8398309065288868,0.890726896771115,0.927622742874198,0.9360447066128532,0.9430035719832272
Gm12878,Sp1,0.5782505910165484,0.6497212931995541,0.6815048256844594,0.6873731222086886,0.7459833231645312
Gm12878,Srf,0.6575840145322435,0.6987951807228916,0.812111801242236,0.7901444350042481,0.7986111111111112
Gm12878,Taf1,0.8268925357331922,0.8223350253807107,0.8193883439122909,0.8237232289950577,0.8407310704960835
Gm12878,Tcf12,0.7970525023027326,0.8107068914522331,0.8221404477154247,0.8330987897551365,0.8657367044463818
Gm12878,Usf1,0.8222996515679443,0.8553971486761711,0.8604972375690608,0.8623376623376623,0.85997171145686
Gm12878,Yy1,0.805607476635514,0.8036232725583556,0.8425914959137747,0.8370493358633776,0.8599538442851937
H1hesc,Gabp,0.8295454545454546,0.8431312823636917,0.8939612828662237,0.8747884940778342,0.8988965105875335
H1hesc,Nrsf,0.7481158270527568,0.7878521126760564,0.8776167471819646,0.8686786296900489,0.8888018794048551
H1hesc,Rad21,0.8957700205338809,0.8821067317753749,0.927977378576181,0.9344424312304398,0.9327187449458192
H1hesc,Sin3,0.8390596745027125,0.8564151544094237,0.8742589703588144,0.8656906429026098,0.8708247117942655
H1hesc,Sp1,0.7236503856041131,0.7755324959038776,0.8090062111801242,0.7742683280208635,0.8348623853211009
H1hesc,Srf,0.7932816537467701,0.6962962962962963,0.8103448275862069,0.8717310087173101,0.8933500627352572
H1hesc,Taf1,0.8704453441295547,0.875,0.8809419973833406,0.8720398836726215,0.8815124203121565
H1hesc,Tcf12,0.4849137931034483,0.7273422562141492,0.7879884225759769,0.7214808437365475,0.7892561983471075
H1hesc,Usf1,0.8969598041216078,0.8995897214424531,0.9236980218005651,0.922672064777328,0.9249091643116674
H1hesc,Yy1,0.8063085263676688,0.75,0.8607553366174056,0.8440273037542663,0.8724074995851999
K562,Atf3,0.82258781680747,0.8286778398510242,0.8463379607467688,0.8562182154415164,0.8702776513427402
K562,E2f6,0.8819567529244948,0.8826734471485652,0.9062286105407256,0.8933758413035777,0.9068627450980392
K562,Egr1,0.9010989010989012,0.9148936170212766,0.90801261829653,0.9161996611494851,0.9206066012488848
K562,Elf1,0.909217877094972,0.9159817351598174,0.9160871580899396,0.9142347961684116,0.9113924050632912
K562,Ets1,0.8249522597071929,0.8452830188679246,0.825249169435216,0.845360824742268,0.8610591900311526
K562,Fosl1,0.8536299765807962,0.8698190309398716,0.8820224719101124,0.8700173310225303,0.8830409356725146
K562,Gabp,0.8034970857618651,0.7891213389121339,0.8466505246166263,0.8246364414029085,0.8714511041009464
K562,Gata2,0.6583541147132169,0.6635683976560921,0.7193675889328063,0.7487787857641311,0.7773728960610793
K562,Hey1,0.7913987138263665,0.7983572895277208,0.8170135746606335,0.8146815401223462,0.8189336617983459
K562,Max,0.8675880517164511,0.8849978383052313,0.8885736112626869,0.8870256906374288,0.8984848484848484
K562,Nrsf,0.7365401588702559,0.7992143168921868,0.8168578993821712,0.8074889867841409,0.8418356456776948
K562,Pu1,0.925477643292988,0.9331053213962378,0.932050757265657,0.9397662571171712,0.9483845547675336
K562,Rad21,0.8921713441654358,0.8901432913590969,0.9327638467897492,0.9458434876793934,0.9423953584749276
K562,Srf,0.6790606653620352,0.7509578544061303,0.7936241610738255,0.8098271155595996,0.8076555023923445
K562,Taf1,0.8521634615384616,0.8649133293484758,0.8765104627173592,0.870197904540163,0.8637236084452975
K562,Usf1,0.8449545257687311,0.8497797356828194,0.8867274569402229,0.8825757575757576,0.88722430295464
K562,Yy1,0.8462199312714777,0.8632445141065831,0.8603104212860311,0.8682137534596551,0.8867963152507676
