Cell Line,TF,DeepBind,DanQ,DeepD2V,DeepSEA,CBR-KAN
Gm12878,Batf,0.856126737795021,0.8635628839314581,0.8827459855587887,0.8944929410496821,0.9189567841362216
Gm12878,Bcl11a,0.8097285675893577,0.80529427573233,0.708411717280301,0.8233001881214728,0.8700618113410373
Gm12878,Bcl3,0.8151962148622321,0.836765933760089,0.8648761480656832,0.8353743389924854,0.8807403284163652
Gm12878,Bclaf,0.768949549110407,0.8139166463563247,0.8074579575920059,0.8156227150865221,0.8382890567877163
Gm12878,Ebf,0.8120481927710843,0.8064257028112449,0.8343373493975904,0.823995983935743,0.8558232931726908
Gm12878,Egr1,0.8682464454976303,0.9014218009478672,0.9109004739336491,0.8938388625592417,0.918957345971564
Gm12878,Elf1,0.8244293955354903,0.8061198896413343,0.8532731376975169,0.836468522698771,0.8610484073238024
Gm12878,Ets1,0.8377132319041033,0.8709082526509913,0.8994928538497003,0.8847395112955279,0.8981097279852467
Gm12878,Irf4,0.7745848375451263,0.8004332129963899,0.8284476534296029,0.8212274368231047,0.8580505415162455
Gm12878,Mef2a,0.7828852269442035,0.852558542931483,0.8824804856895057,0.8719283029777393,0.8921653657126337
Gm12878,Nrsf,0.8569328760411563,0.876531112199902,0.9152376286134248,0.9152376286134248,0.9235668789808916
Gm12878,Pax5c20,0.7736988402185373,0.7928687817502157,0.8026454519313716,0.7979488162561105,0.8267995782612862
Gm12878,Pax5n19,0.7934210526315789,0.827796052631579,0.8383223684210527,0.8391447368421052,0.8669407894736842
Gm12878,Pbx3,0.8460301507537689,0.8564824120603015,0.8661306532663317,0.8838190954773869,0.9013065326633166
Gm12878,Pou2f2,0.7921092564491654,0.8101669195751138,0.8100151745068286,0.8213960546282246,0.8562974203338392
Gm12878,Pu1,0.9232463038691412,0.9402327776030198,0.9461046450665828,0.9458949355143128,0.9578483799937088
Gm12878,Rad21,0.8893336218087408,0.9256815231501514,0.9475335352661186,0.9554305495456512,0.960298572046733
Gm12878,Sp1,0.789622641509434,0.8147405660377358,0.809316037735849,0.8183962264150944,0.8527122641509434
Gm12878,Srf,0.8268259072117593,0.8507119889756546,0.8888378502526413,0.8865411116214975,0.8934313275149288
Gm12878,Taf1,0.847481343283582,0.8530783582089553,0.8540111940298507,0.8502798507462687,0.8577425373134329
Gm12878,Tcf12,0.8241085683874402,0.8296966471527408,0.8456625864821714,0.8422032996274614,0.8770622671633848
Gm12878,Usf1,0.886008046490836,0.9047831917746982,0.9097004917299956,0.9052302190433617,0.9114886008046492
Gm12878,Yy1,0.796552145739088,0.7932510086807678,0.8375106981293556,0.8320088030321555,0.8590292211761829
H1hesc,Gabp,0.8113207547169812,0.8200559049615653,0.8717679944095038,0.8448637316561844,0.8815513626834381
H1hesc,Nrsf,0.8522912305187252,0.8878809025354734,0.929285880437311,0.9250988602000464,0.9339381251453828
H1hesc,Rad21,0.9006731371321227,0.8941765810895429,0.932216656230432,0.9376956793988728,0.9348778960551032
H1hesc,Sin3,0.8282405918301705,0.8549372788678031,0.8703763267931811,0.8642650369893856,0.8594403345127051
H1hesc,Sp1,0.8138125135310673,0.8220394024680667,0.840225156960381,0.8313487767915133,0.8675037886988526
H1hesc,Srf,0.8953564421190321,0.8659254414650098,0.9136690647482014,0.9326357096141268,0.9444081098757358
H1hesc,Taf1,0.8601941747572815,0.8635922330097088,0.8674757281553398,0.8504854368932039,0.8691747572815534
H1hesc,Tcf12,0.7505870075658753,0.813983824680407,0.8471171406209236,0.8312027132794156,0.8669449517349335
H1hesc,Usf1,0.9252516281823564,0.9311722912966252,0.94404973357016,0.9434576672587328,0.9449378330373002
H1hesc,Yy1,0.8333333333333334,0.8148148148148148,0.8801243992083687,0.8707944585807181,0.8912920554141929
K562,Atf3,0.8527675276752767,0.8642066420664206,0.881549815498155,0.885239852398524,0.8948339483394834
K562,E2f6,0.8796095444685467,0.8832248734634852,0.900939985538684,0.8911785972523499,0.9038322487346347
K562,Egr1,0.9027027027027028,0.9124588002636784,0.9038892551087672,0.9152274225444956,0.9178642056690836
K562,Elf1,0.8821396192203083,0.8887881535207011,0.890601390148081,0.8836506497431248,0.8878815352070112
K562,Ets1,0.8336358136721113,0.8511796733212341,0.8408953418027828,0.8548094373865699,0.8650937689050212
K562,Fosl1,0.9256173757810175,0.9336506991966677,0.9375185956560548,0.9330556382029158,0.940493900624814
K562,Gabp,0.865296803652968,0.8561643835616438,0.8915525114155252,0.8829908675799086,0.9069634703196348
K562,Gata2,0.817373916907354,0.8150411019773384,0.8343701399688958,0.8400355476560765,0.8574761164185737
K562,Hey1,0.79635079458505,0.8073376495978026,0.8016480282519128,0.7979203453011575,0.7981165391406709
K562,Max,0.8541615516818071,0.86938374662411,0.8746624109992635,0.8709796219003192,0.8848514608396759
K562,Nrsf,0.8021541010770505,0.8475559237779619,0.8624689312344657,0.8551781275890638,0.8772162386081193
K562,Pu1,0.9334643208002144,0.9406090917209968,0.9406984013575064,0.946146289184603,0.9532017504688756
K562,Rad21,0.910479375696767,0.9153846153846154,0.9455964325529544,0.955406911928651,0.9535117056856188
K562,Srf,0.8096343586767266,0.849100406268137,0.857225769007545,0.8786999419616948,0.8833430063842136
K562,Taf1,0.8503194402190447,0.8624885914207484,0.8725281411621539,0.8643139641010039,0.8487982963188317
K562,Usf1,0.8922498118886381,0.8973664409330323,0.9158765989465764,0.9160270880361174,0.9184349134687736
K562,Yy1,0.8297265160523186,0.8340071343638525,0.8202140309155767,0.8527942925089179,0.8684898929845423
