Gm12878Sp1Pcr1xPkRep1.csv,roc_auc: ,0.8565044689133369,  pr_auc: ,0.7641583151326322, pre: ,0.7018255578093306, rec: ,0.6623277182235835, acc: ,0.809316037735849, f1: ,0.6815048256844594, mcc: ,0.5460569624187445
Gm12878Pou2f2Pcr1xPkRep1.csv,roc_auc: ,0.8693699721189769,  pr_auc: ,0.8067294015683044, pre: ,0.8528839922229423, rec: ,0.5621529260999573, acc: ,0.8100151745068286, f1: ,0.6776519052523172, mcc: ,0.5749506946441976
K562Rad21V0416102PkRep1.csv,roc_auc: ,0.9848402857203337,  pr_auc: ,0.9805114964819146, pre: ,0.9379329454142422, rec: ,0.9276514113455742, acc: ,0.9455964325529543, f1: ,0.9327638467897492, mcc: ,0.8871198470882944
Gm12878Bcl3V0416101PkRep1.csv,roc_auc: ,0.9295615997753109,  pr_auc: ,0.8738709026705129, pre: ,0.7572347266881029, rec: ,0.836961350510884, acc: ,0.8648761480656832, f1: ,0.7951044524161216, mcc: ,0.6966178087596238
K562Egr1V0416101PkRep1.csv,roc_auc: ,0.9628374440815296,  pr_auc: ,0.9574838063785149, pre: ,0.8827281648675172, rec: ,0.9347882566900494, acc: ,0.9038892551087673, f1: ,0.90801261829653, mcc: ,0.8090179438738485
K562E2f6sc22823V0416102PkRep1.csv,roc_auc: ,0.9584201222945282,  pr_auc: ,0.9569157406898495, pre: ,0.8939905469277515, rec: ,0.9188063844552394, acc: ,0.900939985538684, f1: ,0.9062286105407256, mcc: ,0.8016268170693153
H1hescTcf12Pcr1xPkRep1.csv,roc_auc: ,0.9242848943153764,  pr_auc: ,0.8517257547308875, pre: ,0.719762062128222, rec: ,0.8705035971223022, acc: ,0.8471171406209236, f1: ,0.7879884225759769, mcc: ,0.6775264549045553
H1hescGabpPcr1xPkRep1.csv,roc_auc: ,0.9415147892135193,  pr_auc: ,0.9528554898835649, pre: ,0.8637632607481853, rec: ,0.9263473053892216, acc: ,0.8717679944095038, f1: ,0.8939612828662237, mcc: ,0.735156905386118
Gm12878BatfPcr1xPkRep1.csv,roc_auc: ,0.9269618851792677,  pr_auc: ,0.8595013814904413, pre: ,0.8662175168431184, rec: ,0.6896551724137931, acc: ,0.8827459855587887, f1: ,0.7679180887372014, mcc: ,0.6988535492914475
H1hescRad21V0416102PkRep1.csv,roc_auc: ,0.9782564091877093,  pr_auc: ,0.974233129597689, pre: ,0.933723849372385, rec: ,0.9223012068110431, acc: ,0.932216656230432, f1: ,0.927977378576181, mcc: ,0.8640249580429318
H1hescUsf1Pcr1xPkRep1.csv,roc_auc: ,0.9813913111891492,  pr_auc: ,0.9702160073605516, pre: ,0.9039905175819835, rec: ,0.9442839455220801, acc: ,0.9440497335701599, f1: ,0.9236980218005651, mcc: ,0.8800831691406313
K562Atf3V0416101PkRep1.csv,roc_auc: ,0.94789984140299,  pr_auc: ,0.936727531244453, pre: ,0.9057377049180327, rec: ,0.7942497753818508, acc: ,0.881549815498155, f1: ,0.8463379607467688, mcc: ,0.7549304106420646
Gm12878Elf1sc631V0416101PkRep1.csv,roc_auc: ,0.9278828432865378,  pr_auc: ,0.9127886826997367, pre: ,0.8192389006342494, rec: ,0.8644729503625209, acc: ,0.8532731376975169, f1: ,0.841248303934871, mcc: ,0.7059158043308492
Gm12878Irf4sc6059Pcr1xPkRep1.csv,roc_auc: ,0.8758424382909531,  pr_auc: ,0.7891223548471593, pre: ,0.7593667546174142, rec: ,0.6628281897742976, acc: ,0.8284476534296029, f1: ,0.7078209542547959, mcc: ,0.5899079170152706
Gm12878Yy1sc281Pcr1xPkRep1.csv,roc_auc: ,0.9138827920120698,  pr_auc: ,0.9129609039034798, pre: ,0.8414951502247456, rec: ,0.8436907020872866, acc: ,0.8375106981293556, f1: ,0.8425914959137747, mcc: ,0.6746854972725304
Gm12878Usf1Pcr2xPkRep1.csv,roc_auc: ,0.956791880098653,  pr_auc: ,0.9398777379135906, pre: ,0.8964028776978418, rec: ,0.8273572377158035, acc: ,0.9097004917299956, f1: ,0.8604972375690608, mcc: ,0.7952944285335507
Gm12878Mef2aPcr1xPkRep1.csv,roc_auc: ,0.9217007206275974,  pr_auc: ,0.8481634258421713, pre: ,0.8166666666666667, rec: ,0.7073847862298723, acc: ,0.8824804856895057, f1: ,0.7581077060398691, mcc: ,0.6840855856296075
K562SrfV0416101PkRep1.csv,roc_auc: ,0.9318423010011796,  pr_auc: ,0.8817315029590613, pre: ,0.7321981424148607, rec: ,0.8663003663003663, acc: ,0.857225769007545, f1: ,0.7936241610738255, mcc: ,0.6913221469954672
Gm12878Tcf12Pcr1xPkRep1.csv,roc_auc: ,0.9199608536898638,  pr_auc: ,0.9047662219223656, pre: ,0.871869918699187, rec: ,0.7777777777777778, acc: ,0.8456625864821714, f1: ,0.8221404477154247, mcc: ,0.6901055910862076
Gm12878Taf1Pcr1xPkRep1.csv,roc_auc: ,0.9232111785661418,  pr_auc: ,0.8883981162083, pre: ,0.8808933002481389, rec: ,0.7659115426105717, acc: ,0.8540111940298507, f1: ,0.8193883439122909, mcc: ,0.7026914610820032
Gm12878Pax5n19Pcr1xPkRep1.csv,roc_auc: ,0.9081497227646704,  pr_auc: ,0.8369027340479507, pre: ,0.7737722048066875, rec: ,0.7291974396848843, acc: ,0.8383223684210527, f1: ,0.7508238276299113, mcc: ,0.6319291054805983
