Gm12878Sp1Pcr1xPkRep1.csv,roc_auc: ,0.8593147313902277,  pr_auc: ,0.7693879821294601, pre: ,0.7316335350043215, rec: ,0.6481623277182236, acc: ,0.8183962264150944, f1: ,0.6873731222086886, mcc: ,0.5621019850957267
Gm12878Pou2f2Pcr1xPkRep1.csv,roc_auc: ,0.8778766348420398,  pr_auc: ,0.8212674658018557, pre: ,0.7626353790613718, rec: ,0.7219137120888509, acc: ,0.8213960546282246, f1: ,0.7417160412552117, mcc: ,0.6059098898554455
K562Rad21V0416102PkRep1.csv,roc_auc: ,0.9909784954715178,  pr_auc: ,0.9880778795974446, pre: ,0.9347069842119347, rec: ,0.9572485612496574, acc: ,0.955406911928651, f1: ,0.9458434876793934, mcc: ,0.9081385347733231
Gm12878Bcl3V0416101PkRep1.csv,roc_auc: ,0.9042146752743461,  pr_auc: ,0.8364106291215504, pre: ,0.8803418803418803, rec: ,0.5490892936472679, acc: ,0.8353743389924854, f1: ,0.6763337893296854, mcc: ,0.6024976696268979
K562Egr1V0416101PkRep1.csv,roc_auc: ,0.969743246528618,  pr_auc: ,0.9677310281897118, pre: ,0.919194560669456, rec: ,0.9132242140815796, acc: ,0.9152274225444957, f1: ,0.9161996611494853, mcc: ,0.8304519109384252
K562E2f6sc22823V0416102PkRep1.csv,roc_auc: ,0.9518007672868685,  pr_auc: ,0.9523970987489737, pre: ,0.9124457308248914, rec: ,0.8750867453157529, acc: ,0.8911785972523499, f1: ,0.8933758413035777, mcc: ,0.7830766558372372
H1hescTcf12Pcr1xPkRep1.csv,roc_auc: ,0.8978569274711912,  pr_auc: ,0.8033709345924623, pre: ,0.7817164179104478, rec: ,0.6698641087130296, acc: ,0.8312027132794156, f1: ,0.7214808437365475, mcc: ,0.6051070871680455
H1hescGabpPcr1xPkRep1.csv,roc_auc: ,0.927163625768597,  pr_auc: ,0.9399429453726948, pre: ,0.8267590618336887, rec: ,0.9287425149700599, acc: ,0.8448637316561844, f1: ,0.8747884940778342, mcc: ,0.6806218788370576
Gm12878BatfPcr1xPkRep1.csv,roc_auc: ,0.938324488727796,  pr_auc: ,0.8853194944366736, pre: ,0.8066942459571267, rec: ,0.8218390804597702, acc: ,0.8944929410496821, f1: ,0.81419624217119, mcc: ,0.7405976398640994
H1hescRad21V0416102PkRep1.csv,roc_auc: ,0.9815641047298604,  pr_auc: ,0.9791836957644315, pre: ,0.931068439192516, rec: ,0.9378409654488346, acc: ,0.9376956793988729, f1: ,0.9344424312304398, mcc: ,0.8751060902996531
H1hescUsf1Pcr1xPkRep1.csv,roc_auc: ,0.9804438749010725,  pr_auc: ,0.9674621769315171, pre: ,0.9054429876837505, rec: ,0.9405695418902187, acc: ,0.9434576672587329, f1: ,0.9226720647773279, mcc: ,0.8785289091908075
K562Atf3V0416101PkRep1.csv,roc_auc: ,0.9469490469833093,  pr_auc: ,0.932628267070924, pre: ,0.8819047619047619, rec: ,0.8319856244384546, acc: ,0.885239852398524, f1: ,0.8562182154415164, mcc: ,0.7617606006141778
Gm12878Elf1sc631V0416101PkRep1.csv,roc_auc: ,0.9249573317891263,  pr_auc: ,0.9074457579852756, pre: ,0.7749397590361445, rec: ,0.8968209704406024, acc: ,0.836468522698771, f1: ,0.8314374353671148, mcc: ,0.6810689427730909
Gm12878Irf4sc6059Pcr1xPkRep1.csv,roc_auc: ,0.8710932072620559,  pr_auc: ,0.7834223169795463, pre: ,0.7637083097795364, rec: ,0.6222938737908797, acc: ,0.8212274368231047, f1: ,0.6857868020304568, mcc: ,0.568433290955439
Gm12878Yy1sc281Pcr1xPkRep1.csv,roc_auc: ,0.9131821698912282,  pr_auc: ,0.9163350369489578, pre: ,0.8370493358633776, rec: ,0.8370493358633776, acc: ,0.8320088030321555, f1: ,0.8370493358633776, mcc: ,0.6636958158028174
Gm12878Usf1Pcr2xPkRep1.csv,roc_auc: ,0.958937833571375,  pr_auc: ,0.9415303604204536, pre: ,0.843710292249047, rec: ,0.8818061088977424, acc: ,0.9052302190433617, f1: ,0.8623376623376623, mcc: ,0.7905829760407455
Gm12878Mef2aPcr1xPkRep1.csv,roc_auc: ,0.9106997317734475,  pr_auc: ,0.8271293180878474, pre: ,0.7942122186495176, rec: ,0.6857301499167129, acc: ,0.8719283029777393, f1: ,0.7359952324195471, mcc: ,0.6551162766311703
K562SrfV0416101PkRep1.csv,roc_auc: ,0.9295906585626211,  pr_auc: ,0.885147835748602, pre: ,0.8047016274864376, rec: ,0.815018315018315, acc: ,0.8786999419616948, f1: ,0.8098271155595996, mcc: ,0.7208140893546394
Gm12878Tcf12Pcr1xPkRep1.csv,roc_auc: ,0.9177020589778453,  pr_auc: ,0.9056505724428408, pre: ,0.80896419786827, rec: ,0.8587177255584566, acc: ,0.8422032996274614, f1: ,0.8330987897551365, mcc: ,0.6848123867510957
Gm12878Taf1Pcr1xPkRep1.csv,roc_auc: ,0.9219285579426304,  pr_auc: ,0.8940382549318401, pre: ,0.8389261744966443, rec: ,0.8090614886731392, acc: ,0.8502798507462687, f1: ,0.8237232289950577, mcc: ,0.6940241400975237
Gm12878Pax5n19Pcr1xPkRep1.csv,roc_auc: ,0.8995339464771713,  pr_auc: ,0.8364813209183549, pre: ,0.8113542282672974, rec: ,0.6755292959133432, acc: ,0.8391447368421052, f1: ,0.7372380440623321, mcc: ,0.6281489177603257
